,date_day,repo_id,repo_name,count_stars
530,2016-04-01,206444,hive,36
531,2016-05-01,206444,hive,44
532,2016-06-01,206444,hive,38
533,2016-07-01,206444,hive,40
534,2016-08-01,206444,hive,43
535,2016-09-01,206444,hive,40
536,2016-10-01,206444,hive,26
537,2016-11-01,206444,hive,39
538,2016-12-01,206444,hive,41
539,2017-01-01,206444,hive,35
540,2017-02-01,206444,hive,45
541,2017-03-01,206444,hive,62
542,2017-04-01,206444,hive,38
543,2017-05-01,206444,hive,52
544,2017-06-01,206444,hive,50
545,2017-07-01,206444,hive,42
546,2017-08-01,206444,hive,53
547,2017-09-01,206444,hive,50
548,2017-10-01,206444,hive,52
549,2017-11-01,206444,hive,48
550,2017-12-01,206444,hive,43
551,2018-01-01,206444,hive,36
552,2018-02-01,206444,hive,51
553,2018-03-01,206444,hive,59
554,2018-04-01,206444,hive,48
555,2018-05-01,206444,hive,55
556,2018-06-01,206444,hive,51
557,2018-07-01,206444,hive,64
558,2018-08-01,206444,hive,59
559,2018-09-01,206444,hive,62
560,2018-10-01,206444,hive,39
561,2018-11-01,206444,hive,47
562,2018-12-01,206444,hive,47
563,2019-01-01,206444,hive,63
